"id","title","street_number","street_name","city","state_province","country","postal_code","website","email","distributor_number","responsibility_center","customer_posting_group","customer_price_group","customer_disc_group","contact","latitude","longitude"
"35785","Productos Superiores S.A","Bulevard Andrews, Building 41CA  43-402","","Albrook","","Panama","0616-07899","https://www.supropanama.com/","","","","DIST-INTL","","","","9.170691695319746","-79.62859616532738"
"32107","Potterycrafts","","","Stoke On Trent","Staffordshire","United Kingdom","ST1 1AF","https://potterycrafts.co.uk","","","","","","","","53.0219186","-2.2297826"
"49408","Pottery Supplies","51 Castlemaine St.","","Milton","Queensland","Australia","4064","https://www.potterysuppliesonline.com.au","","","","DIST-INTL","","","","-27.464680","153.008210"
"49257","Pottery Lane GR","401 Hall St SW, Suite 128B","","Grand Rapids","Michigan","United States","49503","https://www.potterylanegr.com","","","","DIST-US","","","","42.942860","-85.678370"
"21288","Pottershop","","","Cape Town","","South Africa","7975","https://www.thepottershop.co.za","","","","DIST-INTL","","","","-34.1418189","18.3860652"
"49413","Poterie du Vieux Bac","905 avenue des Nations unies","","","Bailleul","France","59270","https://poterieduvieuxbac.com/","","","","DIST-INTL","","","","50.727770","2.737500"
"21296","Potclays, Ltd.","","","Stoke On Trent","Staffordshire","United Kingdom","ST4 7BP","https://potclays.co.uk","","","","DIST-INTL","","","","53.0167996","-2.2033509"
"28391","Portland Pottery","118","Washington Ave.","Portland","Maine","United States","4101","https://www.portlandpottery.com","","","","DIST-US","","","","43.667090","-70.253380"
"43827","Portland Pottery","87","Messina Dr","Braintree","Massachusetts","United States","02184","https://www.portlandpottery.com/braintree/","","","","DIST-US","","","","42.193530","-71.033530"
"27131","Patty’s Ceramics","","","Provo","Utah","United States","84601","https://www.pattysceramics.com","","","","","","","","40.235119","-111.662193"
"21283","Paton Arts & Craft Production","","","Kwai Chung, Nt.","","Hong Kong","","https://patonarts.com.hk","","","","DIST-INTL","","","","22.3668502","114.1302591"
"21290","Pappel Espanola S.L.","","","Madrid","","Spain","28947","https://pappel.com","","","","DIST-INTL","","","","40.2636452","-3.7485874"
"28334","P&H","","308, 3, Sinjeong-ro 13-gil","Yangcheon-gu","","South Korea","08081","https://www.pnhart.co.kr","","","","DIST-INTL","","","","37.519828","126.865139"
"42324","Northern Rivers Pottery Supplies","58-62 Simpson Avenue","Warehouse 2, Wollongbar Shop/Centre","Wollongbar, NSW","","Australia","2481","https://nrpotterysupplies.com.au/","","","","DIST-INTL","","","","-28.828250","153.420890"
"43033","North Vancouver Ceramics","201-1305","Welch Street","North Vancouver","British Columbia","Canada","V7P 1B3","https://www.nvceramics.com","","","","DIST-INTL","","","","49.317110","-122.11111"
"21357","New Mexico Clay","","","Albuquerque","New Mexico","United States","87107","https://nmclay.com","","","","DIST-US","","","","35.117550","-106.613300"
"45099","Nellie Dog Pottery and Paints","","","Chillicothe","Ohio","United States","45601","https://nelliedogpottery.com/","","","","","","","","39.33497866060913","-82.9820773966436"
"32105","Nasco WI","","","Fort Atkinson","Wisconsin","United States","53538","https://enasco.com","","","","","","","","42.9288944","-88.8370509"
"45973","Nacho suministros ceramicos S.L.","","Calle Cadiz, N 5","Valencia","","Spain","46006","http://www.nacho-sum.es/","","","","","","","","39.46416429320049","-0.3749144578087148"
"45945","Mondo Ceramica S.r.l.","","Via Circonvallazione Nord sc","Deruta","","Italy","6053","https://www.mondoceramica.net/","","","","","","","","42.9834455963917","12.421576525488163"
"45541","MJG Studios Ltd","3","W Winter St","Delaware","Ohio","United States","43015","","","","","DIST-US","","","","40.299990","-83.068314"
"46721","Mishawaka United Art & Education Sup.Co.","","","Mishawaka","Indiana","United States","46545","https://www.unitednow.com","","","","CATALOG","","","","41.77717393412595","-86.22638720568948"
"28291","Minnesota Clay Co","2960","Niagara Lane N","Plymouth","Minnesota","United States","55447","https://www.mnclay.com","","","","DIST-US","","","","45.014080","-93.471390"
"21284","Minerco Industrial Minerals Co. Ltd.","","","Netanya","","Israel","4250210","http://minerco.co.il","","","","DIST-INTL","","","","32.2822293","34.8633457"
"29161","Midwest Ceramics LLC","217","E. South Street","Plano","Illinois","United States","60545","","","Duncan","Duncan","DIST-US","","","Duncan only","41.662110","-88.534220"
"32104","Michigan Art Center","32129","Block Street","Garden City","Michigan","United States","48136","https://michiganartcenter.com/","","","","","","","","42.329480","-83.357780"
"45947","Michel Keramikbedarf","","Lerchenhalde 73","Zürich","","Switzerland","8046","https://keramikbedarf.ch/","","","","","","","","47.41602336951975","8.506974812339454"
"21355","Miami Ceramics and Clay Supplies, Inc.","","","Hialeah","Florida","United States","33016","http://miaceramicsandclaysupplies.com/","","","","DIST-US","","","","25.8925211","-80.3352364"
"44122","Mei Sum Art & Design Ltd.","Unit L 20/F, Shield Industrial Centre","84-92 Chai Wan Kok Street","Tsuen Wan","Hong Kong","China","","http://www.meisum.com/","","","","DIST-INTL","","","","22.372110","114.108690"
"21354","Marjon Ceramics – Tucson","426","W Alturas","Tucson","Arizona","United States","85705","https://marjonceramics.com","","","","DIST-US","","","","32.2680738","-110.9923904"
"21353","Marjon Ceramics – Phoenix","3434","W. Earll Dr ste #101","Phoenix","Arizona","United States","85017","https://marjonceramics.com","","","","DIST-US","","","","33.514162","-112.1251372"
"32103","Marcellas Ceramics, Inc.","","","Beloit","Wisconsin","United States","53511","https://www.facebook.com/MarcellasCeramics/","","","","","","","","42.5083482","-89.0317765"
"21351","Mar-Lyn Ceramics","","","West Point","Mississippi","United States","39773","https://marlynceramics.com","","","","DIST-US","","","","33.6076186","-88.6503254"
"27815","Manufacturas En Ceramica De Zapopan","","Frias 571","Guadalajara","","Mexico","44200","https://www.manufacturasenceramica.com.mx","","","","DIST-INTL","","","","20.685890","-103.360120"
"45116","Luciana Thomaz Ateliê de Cerâmica","","","Vinhedo","","Brazil","13289-036","https://lucianathomaz.com.br/","","","","","","","","-23.029806687822827","-46.98150291585529"
"36929","Les Cousins","160 Rue Des 4 Termes  ZI Les Paluds - BP 1124","","Aubagne","Cedex","France","13400","http://www.lescousins.fr/","","","","DIST-INTL","","","","43.287490","5.598910"
"47539","Leim&Zwa","","Dorpstraat 4a","Elsloo","","Netherlands","6181GX","https://leimenzwa.nl","","","","DIST-INTL","","","","50.947420","5.759730"
"45971","Lehmhuus AG","","Neuhofweg 50","Aesch","","Switzerland","4147","http://www.lehmhuus.ch/","","","","","","","","47.47919571498961","7.594080816906424"
"27434","Laboratoriya Keramiki LLC","","","Moscow","","Russia","129281","https://portalkeramiki.ru/","","","","DIST-INTL","","","","55.800119239802500","37.585005244322200"
"28294","Kuantum Yapi Kim-San Tic LTD STI","","UQUR Mah. 849 Sok. No.4/C","Konak-Izmir","","Turkey","35180","","","","","DIST-INTL","","","","38.405580","27.159850"
"21350","Krueger Pottery Supplies","","","Brentwood","Missouri","United States","63144","https://kruegerpottery.com","","","","DIST-US","","","","38.6157474","-90.3513021"
"27620","Koch Ceramics","","","Johnstown","Pennsylvania","United States","15902","https://www.kochceramics.com","","","","DIST-US","","","","40.308860","-78.889780"
"45098","Kiln Room","","","Columbus","Ohio","United States","","https://www.kilnroomcolumbus.com/","","","","","","","","39.92038222361848","-82.9945287194743"
"45105","Kettles Pottery Supplies","","","Edinburgh","","United Kingdom","EH7 6UL","https://www.kettlespotterysupplies.com/","","","","","","","","55.95668032321615","-3.1265623087467893"
"45969","Keraterm Franc Konjedič s.P.","","Šiškovo Naselje 9","Kranj","","Slovenia","4000","https://www.keraterm.si/e-trgovina","","","","","","","","46.238569419282335","14.345819046096723"
"32102","Kerasil Oy","","","Nurmijarvi","","Finland","01900","","","","","","","","","60.4646558","24.7945989"
"21271","Keramix Handels GMBH","","","Korneuburg","","Austria","2100","https://keramix.eu","","","","DIST-INTL","","","","48.34472","16.3314901"
"45952","Keramikfryd ApS","","Praestegaards Alle 51","Broenshoej","","Denmark","2700","https://www.keramikfryd.dk/","","","","","","","","55.82470136564219","12.446213137816171"
"21291","Keramikcenter-Art4Fun","","","Rydeback","","Sweden","257 30","https://art4fun.se","","","","DIST-INTL","","","","55.961809","12.787941"
"45970","Keramikbedarf Ing. Tripp & Partner OG","","Hausmannstättener Straße 33","Fernitz b. Graz","","Austria","8072","http://www.keramikbedarf.net/","","","","","","","","46.97726843510564","15.50162845405912"
